word,score
incompetent,-2.2
worthless,-2.5
disgusting,-2.8
offensive,-2.4
rude,-2.5
mean,-2.0
nasty,-2.5
cruel,-2.9
evil,-3.0
vile,-2.9
angry,-2.1
furious,-2.5
outraged,-2.4
hostile,-2.4
aggressive,-2.1
dangerous,-2.2
threatening,-2.1
suspicious,-1.9
dishonest,-2.4
deceitful,-2.4
lying,-2.3
liar,-2.5
cheating,-2.3
cheater,-2.4
ugly,-2.2
hideous,-2.5
gross,-2.0
creepy,-2.1
scary,-2.0
frightening,-2.1
terrified,-2.6
worried,-1.8
worry,-1.8
sad,-2.0
depressed,-2.4
depressing,-2.3
miserable,-2.6
heartbroken,-2.6
devastated,-2.8
upset,-2.1
shame,-2.2
ashamed,-2.1
embarrassed,-2.0
embarrassing,-2.0
humiliated,-2.5
humiliating,-2.5
suffer,-2.2
suffering,-2.2
suffered,-2.2
sick,-1.9
illness,-2.0
disease,-2.0
pain,-2.2
painful,-2.2
hurt,-2.1
hurting,-2.1
injury,-1.9
injured,-1.9
wound,-1.9
wounded,-1.9
kill,-2.8
killed,-2.8
killing,-2.8
murder,-3.4
murdered,-3.4
death,-2.8
die,-2.7
died,-2.7
dead,-2.7
crime,-2.5
criminal,-2.5
illegal,-2.0
corrupt,-2.7
corruption,-2.7
fraud,-2.8
scam,-2.8
scandal,-2.4
shit,-2.5
bullshit,-2.7
crap,-2.5
fuck,-3.0
fucking,-3.0
damn,-1.9
jerk,-2.5
asshole,-3.1
bitch,-3.0
bastard,-2.8
hell,-2.0
disaster,-2.6
catastrophe,-2.7
crisis,-2.3
emergency,-1.9
chaos,-2.1
riot,-2.3
war,-2.7
fight,-2.0
fighting,-2.0
violent,-2.5
violence,-2.5
assault,-2.8
attack,-2.4
attacked,-2.4
invade,-2.3
invaded,-2.3
invasion,-2.3
failure,-2.3
fail,-2.2
failed,-2.2
failing,-2.2
deny,-1.8
denied,-1.8
denying,-1.8
reject,-1.9
rejected,-1.9
rejecting,-1.9
refuse,-1.8
refused,-1.8
refusing,-1.8
prohibit,-1.7
prohibited,-1.7
ban,-1.8
banned,-1.8
banning,-1.8
block,-1.7
blocked,-1.7
lose,-2.0
losing,-2.0
lost,-2.0
defeat,-2.1
defeated,-2.1
loser,-2.3
missed,-1.8
miss,-1.8
tragic,-2.5
tragedy,-2.6
misfortune,-2.3
unlucky,-1.9
cursed,-2.4
doomed,-2.6
hopeless,-2.7
despair,-2.8
desperate,-2.4
helpless,-2.5
powerless,-2.3
weak,-1.9
feeble,-1.8
frail,-1.7
fragile,-1.6
brittle,-1.5
inadequate,-2.0
insufficient,-1.8
lacking,-1.7
mediocre,-1.6
boring,-1.9
tedious,-1.8
monotonous,-1.7
dull,-1.7
bland,-1.6
flavorless,-1.7
tasteless,-1.7
insipid,-1.6
unappealing,-1.8
unpleasant,-2.0
uncomfortable,-1.9
uneasy,-1.8
awkward,-1.7
strange,-1.5
weird,-1.5
odd,-1.3
peculiar,-1.2
disturbing,-2.3
troubling,-2.2
concerning,-1.9
alarming,-2.1
worrisome,-2.0
distressing,-2.2
unnerving,-2.1
shocking,-2.3
appalling,-2.6
overwhelming,-2.0
exhausting,-2.1
tiring,-1.8
draining,-1.9
stressful,-2.0
frustrating,-2.1
irritating,-2.0
infuriating,-2.3
maddening,-2.2
exasperating,-2.1
aggravating,-2.0
burdensome,-1.9
troublesome,-1.8
problematic,-1.7
complicated,-1.6
complex,-1.4
difficult,-1.5
challenging,-1.3
confusing,-1.7
baffling,-1.8
bewildering,-1.9
mystifying,-1.6
dismal,-2.3
gloomy,-2.0
dreary,-1.9
bleak,-2.1
somber,-1.8
