distance_km,traffic,hour,weekday,type_route,weather,duration_minutes
2940.59,MEDIUM,2,6,MIXED,CLEAR,3528.71
1000.18,LOW,14,1,HIGHWAY,CLEAR,600.11
2709.54,LOW,18,3,URBAN,RAIN,6231.94
1056.15,LOW,5,4,MIXED,CLEAR,905.27
603.03,LOW,1,0,HIGHWAY,SNOW,542.73
2337.92,LOW,8,1,URBAN,CLEAR,4675.84
227.22,LOW,21,6,URBAN,RAIN,522.61
2057.97,LOW,5,3,HIGHWAY,RAIN,1420.0
311.44,LOW,4,0,URBAN,RAIN,716.31
478.19,MEDIUM,18,2,URBAN,CLEAR,1434.57
2795.53,LOW,3,0,MIXED,SNOW,3594.25
2026.57,MEDIUM,23,2,MIXED,SNOW,3647.83
1598.57,LOW,20,3,HIGHWAY,RAIN,1103.01
2622.82,MEDIUM,9,2,URBAN,SNOW,11802.69
352.59,MEDIUM,0,4,URBAN,SNOW,1586.65
77.9,MEDIUM,20,1,HIGHWAY,RAIN,67.19
1825.01,LOW,13,5,MIXED,CLEAR,1564.29
483.85,LOW,22,0,URBAN,CLEAR,967.7
2078.06,MEDIUM,11,6,MIXED,CLEAR,2493.67
2254.42,LOW,4,1,URBAN,CLEAR,4508.84
2852.32,LOW,14,1,URBAN,CLEAR,5704.64
1779.15,MEDIUM,7,4,MIXED,CLEAR,2134.98
2675.72,MEDIUM,4,6,URBAN,RAIN,9231.23
1916.78,HIGH,12,4,URBAN,CLEAR,11500.68
1389.05,MEDIUM,19,2,HIGHWAY,RAIN,1198.06
29.04,LOW,19,6,MIXED,CLEAR,24.89
2802.59,LOW,4,0,HIGHWAY,CLEAR,2542.95
2330.01,HIGH,4,0,URBAN,CLEAR,13980.06
942.17,LOW,23,1,MIXED,FOG,1009.47
2248.93,MEDIUM,10,2,MIXED,CLEAR,2698.72
72.62,MEDIUM,5,3,MIXED,CLEAR,170.08
2545.95,MEDIUM,4,4,URBAN,RAIN,8783.53
2761.67,LOW,19,4,URBAN,CLEAR,5523.34
360.31,HIGH,1,1,MIXED,RAIN,828.71
1442.17,MEDIUM,15,0,MIXED,CLEAR,1730.6
1382.83,MEDIUM,18,2,HIGHWAY,RAIN,1192.69
2917.19,LOW,7,2,HIGHWAY,RAIN,2012.86
678.65,LOW,4,1,URBAN,CLEAR,1357.3
43.74,LOW,0,5,URBAN,CLEAR,87.48
23.2,MEDIUM,10,0,MIXED,CLEAR,27.84
1346.95,LOW,13,5,URBAN,RAIN,3097.98
62.85,LOW,13,1,MIXED,CLEAR,53.87
947.15,LOW,11,3,HIGHWAY,CLEAR,568.29
2061.76,LOW,16,4,URBAN,CLEAR,4123.52
2331.57,MEDIUM,15,5,HIGHWAY,RAIN,2010.98
2573.03,HIGH,14,6,URBAN,CLEAR,15438.18
1501.42,LOW,16,3,MIXED,CLEAR,1286.93
1853.8,LOW,3,1,HIGHWAY,CLEAR,1112.28
1473.03,HIGH,9,4,URBAN,CLEAR,8838.18
2326.14,MEDIUM,1,3,HIGHWAY,FOG,2180.76
1126.22,HIGH,8,5,HIGHWAY,FOG,1407.78
1014.26,HIGH,9,6,URBAN,CLEAR,6085.56
2702.64,LOW,6,2,MIXED,CLEAR,2316.55
1727.78,LOW,10,4,URBAN,CLEAR,3455.56
2487.56,HIGH,16,4,URBAN,CLEAR,14925.36
104.86,LOW,23,1,MIXED,RAIN,103.36
2047.86,MEDIUM,3,6,URBAN,SNOW,9215.37
628.16,MEDIUM,4,4,URBAN,RAIN,2167.15
1299.59,LOW,3,4,URBAN,CLEAR,2599.18
1737.01,LOW,3,6,HIGHWAY,CLEAR,1042.21
1164.31,HIGH,13,5,URBAN,RAIN,8033.74
663.02,MEDIUM,1,3,URBAN,RAIN,2287.42
1197.86,MEDIUM,11,1,HIGHWAY,CLEAR,898.39
1709.49,MEDIUM,5,2,URBAN,CLEAR,5128.47
1372.8,HIGH,18,0,HIGHWAY,RAIN,1578.72
1432.89,MEDIUM,8,6,HIGHWAY,CLEAR,1074.67
1894.09,HIGH,11,0,URBAN,FOG,14205.67
2616.88,MEDIUM,15,3,MIXED,CLEAR,3140.26
31.54,MEDIUM,22,3,MIXED,CLEAR,37.85
839.57,HIGH,13,1,URBAN,SNOW,7556.13
796.06,HIGH,10,6,URBAN,CLEAR,4776.36
2118.34,LOW,21,4,MIXED,FOG,2269.65
2965.05,LOW,0,1,HIGHWAY,CLEAR,1779.03
1940.0,LOW,7,1,URBAN,CLEAR,3880.0
1355.09,HIGH,5,4,URBAN,CLEAR,8130.54
971.06,LOW,0,4,MIXED,SNOW,1248.51
783.46,MEDIUM,20,2,URBAN,CLEAR,2350.38
232.57,MEDIUM,11,0,MIXED,CLEAR,279.08
535.59,LOW,22,5,URBAN,CLEAR,1071.18
2907.94,LOW,3,2,MIXED,CLEAR,2492.52
716.43,LOW,12,0,HIGHWAY,CLEAR,429.86
1803.69,HIGH,8,2,URBAN,SNOW,16233.21
1084.94,LOW,1,0,URBAN,RAIN,2495.36
1483.31,MEDIUM,12,3,URBAN,FOG,5562.41
561.7,HIGH,21,3,HIGHWAY,CLEAR,561.7
1386.0,LOW,12,1,URBAN,FOG,3465.0
1850.94,MEDIUM,15,4,MIXED,SNOW,3331.69
2926.44,LOW,23,6,URBAN,SNOW,8779.32
990.73,MEDIUM,7,5,URBAN,RAIN,3418.02
2279.04,LOW,22,1,MIXED,SNOW,2930.19
1258.02,LOW,15,4,URBAN,RAIN,2893.45
2878.53,LOW,6,6,URBAN,CLEAR,7643.75
2617.95,HIGH,18,3,MIXED,CLEAR,5235.9
196.55,LOW,3,3,HIGHWAY,FOG,147.41
1905.46,HIGH,7,6,URBAN,CLEAR,15322.08
2582.22,LOW,17,5,MIXED,CLEAR,2213.33
2853.51,LOW,2,6,HIGHWAY,SNOW,2568.16
2036.36,LOW,22,3,URBAN,CLEAR,4072.72
390.91,MEDIUM,17,3,URBAN,CLEAR,1688.93
2708.08,MEDIUM,19,2,URBAN,SNOW,12186.36
1276.61,MEDIUM,14,6,MIXED,CLEAR,1531.93
1635.35,LOW,23,3,HIGHWAY,FOG,1226.51
1082.77,LOW,22,3,MIXED,CLEAR,928.09
2663.2,MEDIUM,5,0,MIXED,SNOW,4793.76
1902.31,LOW,22,4,HIGHWAY,RAIN,1312.59
2394.53,LOW,8,3,HIGHWAY,CLEAR,1436.72
1544.3,MEDIUM,5,4,URBAN,CLEAR,4632.9
1340.33,LOW,22,4,HIGHWAY,RAIN,924.83
1568.33,LOW,22,2,URBAN,CLEAR,3136.66
2447.2,MEDIUM,18,0,HIGHWAY,RAIN,2110.71
2032.91,HIGH,21,2,MIXED,CLEAR,4065.82
51.13,HIGH,11,2,MIXED,CLEAR,102.26
2191.69,LOW,11,6,URBAN,CLEAR,4383.38
777.62,MEDIUM,23,6,HIGHWAY,CLEAR,583.22
2592.32,LOW,13,0,HIGHWAY,RAIN,1788.7
2487.73,HIGH,19,3,URBAN,RAIN,33826.5
1706.18,LOW,10,6,HIGHWAY,FOG,1279.64
636.07,LOW,16,3,MIXED,FOG,681.5
2073.3,LOW,17,6,URBAN,CLEAR,4146.6
426.56,HIGH,10,2,MIXED,CLEAR,853.12
1768.17,LOW,4,2,HIGHWAY,CLEAR,1060.9
371.11,MEDIUM,3,5,HIGHWAY,RAIN,320.08
2307.95,MEDIUM,12,3,HIGHWAY,CLEAR,1730.96
539.63,MEDIUM,11,2,MIXED,CLEAR,647.56
2866.44,MEDIUM,18,6,URBAN,CLEAR,8599.32
2323.74,MEDIUM,15,6,URBAN,RAIN,8016.9
495.04,MEDIUM,13,3,MIXED,CLEAR,594.05
2564.04,LOW,19,5,MIXED,FOG,2747.19
2757.6,LOW,20,4,HIGHWAY,RAIN,1902.74
1454.15,LOW,0,4,HIGHWAY,CLEAR,872.49
955.82,HIGH,6,1,HIGHWAY,CLEAR,955.82
2529.95,LOW,21,3,URBAN,FOG,11662.11
608.16,LOW,13,6,MIXED,CLEAR,521.28
323.89,LOW,23,5,URBAN,CLEAR,647.78
465.45,LOW,23,1,HIGHWAY,RAIN,321.16
1400.88,LOW,6,1,URBAN,RAIN,3222.02
2615.56,LOW,5,4,HIGHWAY,RAIN,1804.74
1130.09,HIGH,16,6,HIGHWAY,CLEAR,1130.09
2652.83,MEDIUM,10,0,MIXED,CLEAR,3183.4
1737.36,MEDIUM,1,3,HIGHWAY,CLEAR,1303.02
401.64,MEDIUM,6,5,MIXED,RAIN,554.26
1566.94,LOW,5,5,URBAN,CLEAR,3133.88
1171.61,HIGH,16,2,MIXED,RAIN,2694.7
457.1,LOW,14,0,HIGHWAY,RAIN,315.4
2997.56,LOW,22,0,HIGHWAY,CLEAR,1798.54
2329.04,LOW,23,2,HIGHWAY,RAIN,1607.04
2914.86,LOW,14,4,URBAN,CLEAR,10729.94
1093.08,LOW,12,0,URBAN,SNOW,3279.24
1648.04,LOW,22,6,MIXED,CLEAR,1412.61
13.96,LOW,11,1,HIGHWAY,RAIN,9.63
1385.02,HIGH,18,3,URBAN,CLEAR,8310.12
1915.15,HIGH,12,4,HIGHWAY,CLEAR,1915.15
439.09,LOW,8,6,URBAN,RAIN,1009.91
80.22,LOW,0,5,URBAN,CLEAR,160.44
858.71,HIGH,6,1,URBAN,RAIN,5925.1
998.8,HIGH,14,0,MIXED,CLEAR,1997.6
1695.05,HIGH,8,6,URBAN,FOG,12712.88
856.44,LOW,7,2,URBAN,RAIN,1969.81
670.44,MEDIUM,23,6,HIGHWAY,CLEAR,502.83
165.14,LOW,1,5,MIXED,CLEAR,141.55
456.68,MEDIUM,7,1,URBAN,CLEAR,1370.04
816.85,LOW,8,3,HIGHWAY,RAIN,563.63
2910.27,MEDIUM,10,3,HIGHWAY,CLEAR,2182.7
1977.41,HIGH,6,3,MIXED,SNOW,5932.23
98.52,MEDIUM,11,3,URBAN,RAIN,339.89
2221.48,LOW,2,5,HIGHWAY,SNOW,1999.33
1905.86,LOW,23,3,URBAN,CLEAR,3811.72
104.02,LOW,17,1,MIXED,CLEAR,89.16
1686.24,HIGH,3,4,URBAN,FOG,12646.8
2344.71,LOW,18,6,URBAN,CLEAR,4689.42
1490.41,LOW,13,6,URBAN,CLEAR,2980.82
1139.89,MEDIUM,21,6,URBAN,SNOW,5129.51
2072.78,LOW,4,6,HIGHWAY,FOG,1554.59
300.17,HIGH,4,3,URBAN,FOG,2251.28
1461.36,MEDIUM,21,0,URBAN,CLEAR,4384.08
941.89,LOW,23,5,HIGHWAY,CLEAR,565.13
306.13,MEDIUM,22,3,HIGHWAY,CLEAR,229.6
819.89,HIGH,11,2,MIXED,CLEAR,1639.78
2244.95,MEDIUM,13,6,HIGHWAY,CLEAR,1683.71
1969.59,MEDIUM,4,2,HIGHWAY,FOG,1846.49
2254.87,LOW,15,2,HIGHWAY,CLEAR,1352.92
574.51,MEDIUM,10,1,URBAN,CLEAR,1723.53
2264.61,LOW,9,0,MIXED,CLEAR,1941.09
65.29,LOW,5,4,MIXED,SNOW,83.94
2949.1,LOW,23,6,MIXED,CLEAR,2527.8
2769.15,HIGH,6,1,HIGHWAY,SNOW,4153.73
1498.8,HIGH,4,6,MIXED,RAIN,3447.24
1546.67,LOW,6,6,HIGHWAY,CLEAR,928.0
699.44,MEDIUM,12,4,MIXED,CLEAR,839.33
2605.92,LOW,6,6,URBAN,RAIN,5993.62
819.35,HIGH,0,2,URBAN,RAIN,5653.52
1955.1,LOW,5,6,MIXED,SNOW,2513.7
307.24,LOW,23,3,URBAN,CLEAR,614.48
1961.42,MEDIUM,14,0,URBAN,CLEAR,5884.26
1056.74,HIGH,23,5,MIXED,SNOW,3170.22
32.87,LOW,14,3,MIXED,FOG,35.22
629.63,LOW,3,6,URBAN,CLEAR,1259.26
992.74,LOW,12,5,MIXED,CLEAR,850.92
987.45,LOW,19,5,HIGHWAY,CLEAR,592.47
1585.93,LOW,2,1,URBAN,CLEAR,3171.86
1603.82,LOW,21,3,MIXED,SNOW,2062.05
2357.96,HIGH,21,3,URBAN,RAIN,16269.92
2432.66,MEDIUM,7,0,HIGHWAY,CLEAR,1824.49
754.13,LOW,23,0,URBAN,CLEAR,1508.26
2518.25,LOW,4,2,MIXED,CLEAR,2158.5
834.56,HIGH,7,0,URBAN,CLEAR,5007.36
708.47,LOW,1,2,MIXED,CLEAR,607.26
2410.53,MEDIUM,2,5,URBAN,CLEAR,7231.59
2746.52,HIGH,2,4,URBAN,FOG,20598.9
1683.47,MEDIUM,18,4,URBAN,CLEAR,5050.41
2830.89,LOW,2,5,URBAN,CLEAR,5661.78
2035.82,LOW,14,5,URBAN,FOG,5089.55
1541.18,LOW,1,0,HIGHWAY,FOG,1155.89
127.86,LOW,20,4,URBAN,CLEAR,255.72
1184.6,LOW,18,2,URBAN,CLEAR,2369.2
1494.67,LOW,9,3,URBAN,SNOW,4484.01
1220.52,HIGH,15,6,HIGHWAY,CLEAR,1220.52
229.06,MEDIUM,18,3,HIGHWAY,CLEAR,171.79
854.82,HIGH,4,3,MIXED,SNOW,2564.46
300.64,HIGH,14,5,HIGHWAY,CLEAR,381.06
2465.03,LOW,11,5,HIGHWAY,CLEAR,1479.02
1818.4,LOW,23,6,MIXED,RAIN,1792.42
1034.45,LOW,19,0,MIXED,CLEAR,886.67
1845.13,MEDIUM,7,4,HIGHWAY,RAIN,1591.42
926.39,HIGH,17,2,HIGHWAY,RAIN,1065.35
178.9,MEDIUM,2,0,URBAN,RAIN,617.21
2530.11,LOW,0,1,MIXED,CLEAR,2168.67
1642.04,MEDIUM,5,2,URBAN,CLEAR,4926.12
735.14,MEDIUM,0,4,MIXED,CLEAR,882.17
1684.71,LOW,6,5,HIGHWAY,CLEAR,1010.83
841.95,MEDIUM,18,6,HIGHWAY,CLEAR,631.46
963.54,HIGH,6,1,HIGHWAY,CLEAR,1712.88
1094.53,LOW,10,4,HIGHWAY,CLEAR,656.72
2382.85,HIGH,19,3,URBAN,SNOW,21445.65
1370.19,LOW,21,6,URBAN,RAIN,3151.44
2536.8,HIGH,6,3,URBAN,FOG,19026.0
321.66,LOW,20,1,URBAN,FOG,804.15
444.48,LOW,8,6,HIGHWAY,CLEAR,456.63
2056.36,LOW,7,3,URBAN,CLEAR,6090.84
884.85,MEDIUM,19,6,MIXED,FOG,1327.27
1085.93,HIGH,21,5,URBAN,CLEAR,6515.58
2245.46,LOW,0,3,HIGHWAY,RAIN,1549.37
2917.31,LOW,18,1,URBAN,CLEAR,5834.62
2863.12,LOW,18,1,HIGHWAY,RAIN,1975.55
1612.8,LOW,16,1,HIGHWAY,CLEAR,967.68
1369.97,LOW,11,2,HIGHWAY,CLEAR,821.98
1601.56,LOW,19,4,URBAN,FOG,4003.9
1873.63,MEDIUM,0,0,URBAN,CLEAR,5620.89
1800.76,LOW,4,0,HIGHWAY,FOG,1350.57
912.41,LOW,11,6,URBAN,CLEAR,1824.82
395.19,LOW,10,2,URBAN,SNOW,1185.57
1156.35,HIGH,22,0,HIGHWAY,CLEAR,1156.35
1298.92,LOW,23,5,MIXED,CLEAR,1454.96
1354.44,MEDIUM,23,6,URBAN,CLEAR,4063.32
411.97,LOW,5,5,MIXED,CLEAR,353.12
1368.64,LOW,16,6,HIGHWAY,CLEAR,821.18
1330.44,LOW,10,4,MIXED,CLEAR,1140.38
2610.02,LOW,3,2,URBAN,CLEAR,5220.04
1951.44,LOW,6,5,MIXED,RAIN,1923.56
939.94,LOW,16,6,URBAN,CLEAR,1879.88
1394.84,LOW,0,3,MIXED,CLEAR,1195.58
1748.69,MEDIUM,19,0,MIXED,CLEAR,2098.43
1771.25,MEDIUM,12,3,URBAN,CLEAR,5313.75
2045.91,MEDIUM,17,2,HIGHWAY,FOG,1918.04
84.96,HIGH,7,3,URBAN,CLEAR,509.76
1460.04,HIGH,23,2,URBAN,RAIN,10074.28
2721.28,LOW,1,4,URBAN,CLEAR,5442.56
696.16,MEDIUM,7,3,MIXED,FOG,1044.24
2956.19,LOW,23,5,URBAN,CLEAR,5912.38
26.7,LOW,21,5,MIXED,FOG,28.61
1810.58,MEDIUM,12,0,URBAN,RAIN,6246.5
2492.75,LOW,20,0,URBAN,CLEAR,4985.5
639.35,LOW,3,0,MIXED,CLEAR,548.01
773.71,MEDIUM,14,5,HIGHWAY,RAIN,667.32
319.71,LOW,23,1,URBAN,FOG,799.27
602.93,HIGH,17,3,HIGHWAY,CLEAR,602.93
611.47,LOW,21,0,URBAN,CLEAR,1222.94
2787.26,LOW,11,6,MIXED,CLEAR,2389.08
1387.89,LOW,2,5,URBAN,CLEAR,2775.78
378.95,LOW,21,6,URBAN,SNOW,1136.85
2228.4,MEDIUM,12,1,URBAN,CLEAR,6685.2
257.52,MEDIUM,17,1,HIGHWAY,FOG,241.42
461.28,MEDIUM,18,2,HIGHWAY,CLEAR,345.96
2652.85,LOW,14,3,URBAN,RAIN,6101.55
2522.88,LOW,13,4,URBAN,CLEAR,5045.76
2794.99,LOW,13,3,HIGHWAY,CLEAR,1676.99
1548.78,MEDIUM,10,6,URBAN,FOG,5807.92
1131.03,LOW,13,2,HIGHWAY,CLEAR,678.62
1986.34,HIGH,3,1,URBAN,RAIN,13705.75
690.73,LOW,4,6,URBAN,FOG,1726.83
968.45,HIGH,8,3,HIGHWAY,CLEAR,968.45
295.23,MEDIUM,18,6,URBAN,CLEAR,885.69
432.46,LOW,16,0,URBAN,CLEAR,864.92
534.72,HIGH,13,1,HIGHWAY,CLEAR,534.72
93.52,LOW,23,6,HIGHWAY,RAIN,64.53
2228.52,LOW,3,1,MIXED,CLEAR,1910.16
2180.86,LOW,0,1,HIGHWAY,CLEAR,1308.52
1683.96,LOW,2,6,URBAN,FOG,4209.9
820.1,LOW,20,4,MIXED,FOG,878.68
700.04,LOW,6,0,URBAN,RAIN,1610.09
1210.25,LOW,3,5,MIXED,CLEAR,1037.36
1057.27,MEDIUM,13,2,URBAN,CLEAR,3171.81
1657.81,HIGH,2,3,URBAN,CLEAR,9946.86
2886.03,MEDIUM,13,0,MIXED,RAIN,3982.72
212.93,LOW,15,1,URBAN,CLEAR,425.86
1613.39,LOW,13,0,HIGHWAY,CLEAR,968.03
1673.7,LOW,11,6,URBAN,SNOW,5021.1
1263.21,MEDIUM,19,2,URBAN,CLEAR,3789.63
2229.69,HIGH,3,1,MIXED,RAIN,5128.29
2317.68,LOW,23,4,URBAN,FOG,5794.2
1132.78,LOW,6,1,MIXED,CLEAR,970.95
2229.6,HIGH,22,5,HIGHWAY,CLEAR,2229.6
129.06,LOW,18,6,MIXED,SNOW,165.93
227.35,LOW,21,6,URBAN,CLEAR,454.7
753.77,LOW,6,3,URBAN,FOG,1884.42
2255.63,MEDIUM,17,4,HIGHWAY,FOG,2114.65
2540.83,MEDIUM,5,1,URBAN,RAIN,8765.86
1941.34,LOW,12,1,URBAN,SNOW,5824.02
1894.72,LOW,13,6,URBAN,CLEAR,6481.13
2917.74,HIGH,11,6,MIXED,CLEAR,5835.48
2357.54,MEDIUM,15,2,URBAN,CLEAR,7072.62
1287.83,LOW,20,6,URBAN,CLEAR,2575.66
2814.26,MEDIUM,5,6,URBAN,CLEAR,8442.78
2333.57,LOW,2,0,HIGHWAY,RAIN,1610.16
1574.2,LOW,12,1,HIGHWAY,CLEAR,944.52
2864.25,HIGH,8,3,HIGHWAY,RAIN,3293.89
2794.56,LOW,16,0,URBAN,CLEAR,5589.12
1348.11,LOW,18,4,MIXED,CLEAR,1155.52
784.29,LOW,11,2,URBAN,CLEAR,1568.58
2646.72,LOW,18,0,HIGHWAY,FOG,1985.04
2881.16,LOW,6,4,URBAN,SNOW,8643.48
187.77,MEDIUM,13,1,MIXED,RAIN,259.12
2964.63,LOW,9,0,URBAN,FOG,7411.58
1171.26,LOW,20,2,HIGHWAY,CLEAR,702.76
2751.33,LOW,17,2,MIXED,CLEAR,2358.28
